api,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
AZITHROMYCIN,202501,KG,IP,10050.0,128164800.0,12752.716417910447,Cipla,AZITHROMYCIN
AZITHROMYCIN,202501,KG,USP,500.0,6490000.0,12980.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202502,KG,IP,5500.0,72675000.0,13213.636363636364,Cipla,AZITHROMYCIN
AZITHROMYCIN,202503,KG,IP,25.0,343750.0,13750.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202504,KG,IP,26025.0,346882884.8872728,13328.833232940357,Cipla,AZITHROMYCIN
AZITHROMYCIN,202504,KG,USP,300.0,4125000.0,13750.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202505,KG,IP,16325.0,216804374.79356107,13280.51300419976,Cipla,AZITHROMYCIN
AZITHROMYCIN,202506,KG,USP,700.0,9135000.0,13050.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202507,KG,IP,15275.0,200512500.0,13126.84124386252,Cipla,AZITHROMYCIN
AZITHROMYCIN,202507,KG,USP,100.0,1305000.0,13050.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202508,KG,IP,15300.0,201165000.0,13148.039215686274,Cipla,AZITHROMYCIN
AZITHROMYCIN,202508,KG,USP,750.0,9767500.0,13023.333333333334,Cipla,AZITHROMYCIN
AZITHROMYCIN,202509,KG,IP,3800.0,49105000.0,12922.368421052632,Cipla,AZITHROMYCIN
AZITHROMYCIN,202509,KG,USP,200.0,2590000.0,12950.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202510,KG,IP,8325.0,107567500.0,12921.02102102102,Cipla,AZITHROMYCIN
AZITHROMYCIN,202511,KG,IP,7350.0,98445000.0,13393.877551020409,Cipla,AZITHROMYCIN
AZITHROMYCIN,202511,KG,USP,2025.0,26375000.0,13024.691358024691,Cipla,AZITHROMYCIN
AZITHROMYCIN,202512,KG,IP,4100.0,52895000.0,12901.219512195123,Cipla,AZITHROMYCIN
AZITHROMYCIN,202512,KG,USP,1360.0,17612000.0,12950.0,Cipla,AZITHROMYCIN
AZITHROMYCIN,202601,KG,IP,5750.0,74235000.0,12910.434782608696,Cipla,AZITHROMYCIN
AZITHROMYCIN,202602,KG,IP,2600.0,34425000.0,13240.384615384615,Cipla,AZITHROMYCIN
