supplier,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
Desano Ltd,202501,KG,IP,5204.0,32447980.0,6235.1998462720985,Supplier,Desano Ltd
Desano Ltd,202501,KG,USP,370.0,2257906.5,6102.45,Supplier,Desano Ltd
Desano Ltd,202502,KG,USP,2650.0,17207775.0,6493.5,Supplier,Desano Ltd
Desano Ltd,202503,KG,USP,353.28,2235012.75,6326.462720788044,Supplier,Desano Ltd
Desano Ltd,202504,KG,USP,1047.25,6714069.62,6411.143108140368,Supplier,Desano Ltd
Desano Ltd,202506,KG,USP,10000.0,60763208.0,6076.3208,Supplier,Desano Ltd
Desano Ltd,202507,KG,USP,1900.0,11915850.379999999,6271.5001999999995,Supplier,Desano Ltd
Desano Ltd,202508,KG,IP,15275.0,92810896.0,6075.999738134206,Supplier,Desano Ltd
Desano Ltd,202508,KG,USP,350.0,2294740.0,6556.4,Supplier,Desano Ltd
Desano Ltd,202509,KG,IP,700.0,4361000.0,6230.0,Supplier,Desano Ltd
Desano Ltd,202509,KG,USP,500.0,3287450.0,6574.9,Supplier,Desano Ltd
Desano Ltd,202511,KG,USP,15772.83,99074010.25,6281.308443063166,Supplier,Desano Ltd
Desano Ltd,202512,KG,USP,5500.0,33945000.0,6171.818181818182,Supplier,Desano Ltd
Desano Ltd,202601,KG,USP,2730.0,17520800.0,6417.875457875458,Supplier,Desano Ltd
Shijiazhuang Lonzeal Pharmaceuticals Co Ltd,202501,KG,USP,14000.0,82443198.0,5888.799857142857,Supplier,Shijiazhuang Lonzeal Pharmaceuticals Co Ltd
Shijiazhuang Lonzeal Pharmaceuticals Co Ltd,202507,KG,USP,10000.0,58616000.0,5861.6,Supplier,Shijiazhuang Lonzeal Pharmaceuticals Co Ltd
Shijiazhuang Lonzeal Pharmaceuticals Co Ltd,202511,KG,USP,6000.0,34593000.75,5765.500125,Supplier,Shijiazhuang Lonzeal Pharmaceuticals Co Ltd
Shijiazhuang Lonzeal Pharmaceuticals Co Ltd,202512,KG,USP,14000.0,81804800.5,5843.200035714286,Supplier,Shijiazhuang Lonzeal Pharmaceuticals Co Ltd
Shijiazhuang Lonzeal Pharmaceuticals Co Ltd,202601,KG,USP,16000.0,93388800.75,5836.800046875,Supplier,Shijiazhuang Lonzeal Pharmaceuticals Co Ltd
